[2024-06-06T15:04:19.288+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC00191%3A_STIF%3AStopPoint%3AQ%3A22528%3A [status:201 duration:0.727s]
[2024-06-06T15:04:19.606+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC01242%3A_STIF%3AStopPoint%3AQ%3A22528%3A [status:201 duration:0.309s]
[2024-06-06T15:04:19.870+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC00140%3A_STIF%3AStopPoint%3AQ%3A413584%3A [status:201 duration:0.260s]
[2024-06-06T15:04:20.180+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC01246%3A_STIF%3AStopPoint%3AQ%3A40379%3A [status:201 duration:0.306s]
[2024-06-06T15:04:20.474+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC02065%3A_STIF%3AStopPoint%3AQ%3A2978%3A [status:201 duration:0.289s]
[2024-06-06T15:04:20.705+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC00749%3A_STIF%3AStopPoint%3AQ%3A18331%3A [status:201 duration:0.225s]
[2024-06-06T15:04:20.874+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC00372%3A_STIF%3AStopPoint%3AQ%3A2488%3A [status:201 duration:0.168s]
[2024-06-06T15:04:21.105+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC01964%3A_STIF%3AStopPoint%3AQ%3A16131%3A [status:201 duration:0.228s]
[2024-06-06T15:04:21.283+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC00365%3A_STIF%3AStopPoint%3AQ%3A2407%3A [status:201 duration:0.173s]
[2024-06-06T15:04:21.462+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC01999%3A_STIF%3AStopPoint%3AQ%3A472194%3A [status:201 duration:0.171s]
